date,traffic_volume
2000-01-01,29404
2000-01-02,29016
2000-01-03,22752
2000-01-04,24271
2000-01-05,26687
2000-01-06,27335
2000-01-07,28391
2000-01-08,28565
2000-01-09,8270
2000-01-10,6903
2000-01-11,6078
2000-01-12,6090
2006-09-05,19478
2006-09-06,33384
2006-09-07,34587
2006-09-08,36211
2006-09-09,34737
2006-09-10,30075
2006-09-11,34308
2006-09-12,33700
2006-09-13,32603
2006-09-14,32807
2006-09-15,34540
2006-09-16,37526
2006-09-17,32656
2006-09-18,10271
2006-11-04,19631
2006-11-05,28657
2006-11-06,1398
2007-03-10,5772
2007-03-11,1767
2007-03-12,6199
2007-03-13,7106
2007-03-14,7997
2007-03-15,7880
2007-03-16,5268
2007-03-17,0
2007-03-18,3
2007-03-19,5414
2007-03-20,7717
2007-03-21,7646
2007-03-22,8025
2007-03-23,7372
2007-03-24,7835
2007-03-25,7345
2007-03-26,6692
2007-03-27,1457
2007-03-28,6132
2007-03-29,7797
2007-03-30,8118
2007-03-31,2000
2007-04-02,21066
2007-04-03,27882
2007-04-04,25818
2007-04-05,27544
2007-04-06,24321
2007-04-07,27919
2007-04-08,22732
2007-04-09,24829
2007-04-10,28625
2007-04-11,30013
2007-04-12,27578
2007-04-13,31755
2007-04-14,29568
2007-04-15,16771
2007-04-16,29185
2007-04-17,25851
2007-04-18,30586
2007-04-19,31418
2007-04-20,33843
2007-04-21,4473
2007-04-23,48272
2007-04-24,70927
2007-04-25,69571
2007-04-26,71845
2007-04-27,64748
2007-04-28,98038
2007-04-29,95207
2007-04-30,116725
2007-05-01,116619
2007-05-02,116729
2007-05-03,119242
2007-05-04,96957
2007-05-05,80229
2007-05-06,71262
2007-05-07,52958
2007-05-08,46923
2007-05-09,48537
2007-05-10,48520
2007-05-11,37335
2007-05-12,48671
2007-05-13,46359
2007-05-14,16166
2007-10-20,69221
2007-10-21,72393
2007-10-22,79677
2007-10-23,83879
2007-10-24,81225
2007-10-25,85315
2007-10-26,82243
2007-10-27,18362
2007-10-28,11246
2007-10-29,5101
2007-11-03,20620
2007-11-04,23120
2007-11-05,30120
2007-11-06,24212
2007-11-07,25578
2007-11-08,27178
2007-11-09,33475
2007-11-10,27282
2007-11-11,25823
2007-11-12,26817
2007-11-13,1400
2008-03-10,46770
2008-03-11,66447
2008-03-12,56804
2008-03-13,65905
2008-03-14,72043
2008-03-15,60601
2008-03-16,42259
2008-03-17,63825
2008-03-18,56700
2008-03-19,51421
2008-03-20,55501
2008-03-21,47796
2008-03-22,45176
2008-03-23,29076
2008-03-24,39346
2008-03-25,41160
2008-03-26,41202
2008-03-27,41645
2008-03-28,42391
2008-03-29,30687
2008-03-30,24929
2008-03-31,31551
2008-04-01,38096
2008-04-02,38780
2008-04-03,42124
2008-04-04,39627
2008-04-05,26369
2008-04-06,19217
2008-04-07,57924
2008-04-08,54590
2008-04-09,48169
2008-04-10,49946
2008-04-11,52226
2008-04-12,41798
2008-04-13,23865
2008-04-14,44705
2008-04-15,39653
2008-04-16,50639
2008-04-17,53605
2008-04-18,55261
2008-04-19,43140
2008-04-20,30570
2008-04-21,45690
2008-04-22,52213
2008-04-23,52821
2008-04-24,52992
2008-04-25,78444
2008-04-26,160982
2008-04-27,154178
2008-04-28,181111
2008-04-29,195882
2008-04-30,196896
2008-05-01,204469
2008-05-02,205916
2008-05-03,258904
2008-05-04,240101
2008-05-05,262320
2008-05-06,266381
2008-05-07,260082
2008-05-08,268063
2008-05-09,231715
2008-05-10,152095
2008-05-11,135144
2008-05-12,120489
2008-05-13,100435
2008-05-14,92759
2008-05-15,36442
2008-05-16,52480
2008-05-17,101394
2008-05-18,111912
2008-05-19,88575
2008-05-20,71795
2008-05-21,61901
2008-05-22,46452
2008-05-23,59071
2008-05-24,56229
2008-05-25,52380
2008-05-26,48858
2008-05-27,22031
2008-05-28,24899
2008-05-29,68650
2008-05-30,104048
2008-05-31,92078
2008-06-01,96556
2008-06-02,98248
2008-06-03,97987
2008-06-04,90452
2008-06-05,75003
2008-06-06,106984
